"med_hh_income","case_per_10000","GEOID","NAME.x","pop","case_cnt","med_amount","relative_debt_burden"
176875,14.4404332129964,"09001010101","Census Tract 101.01, Fairfield County, Connecticut",4155,6,1594.08,0.00901246643109541
250001,6.89496667432774,"09001010102","Census Tract 101.02, Fairfield County, Connecticut",4351,3,4073.78,0.0162950548197807
222839,22.4803297115024,"09001010202","Census Tract 102.02, Fairfield County, Connecticut",5338,12,1511.055,0.00678092703700878
238750,5.29100529100529,"09001010300","Census Tract 103, Fairfield County, Connecticut",3780,2,2111.02,0.00884196858638743
116222,27.5909639593033,"09001010400","Census Tract 104, Fairfield County, Connecticut",5799,16,2678.995,0.023050670268968
91556,56.1224489795918,"09001010500","Census Tract 105, Fairfield County, Connecticut",5880,33,1178.52,0.0128721219799904
104868,19.3986420950533,"09001010600","Census Tract 106, Fairfield County, Connecticut",2062,4,604.295,0.00576243467978792
61667,22.1914008321775,"09001010700","Census Tract 107, Fairfield County, Connecticut",3605,8,1372.745,0.0222606094021113
136495,11.2644325542101,"09001010800","Census Tract 108, Fairfield County, Connecticut",3551,4,974.65,0.00714055459906956
164063,9.46073793755913,"09001010900","Census Tract 109, Fairfield County, Connecticut",5285,5,876.32,0.00534136276918013
236000,3.60100828231905,"09001011000","Census Tract 110, Fairfield County, Connecticut",5554,2,2387.29,0.0101156355932203
250001,2.16966804078976,"09001011100","Census Tract 111, Fairfield County, Connecticut",4609,1,910.77,0.00364306542773829
238068,5.82750582750583,"09001011200","Census Tract 112, Fairfield County, Connecticut",1716,1,3286.72,0.0138058033839071
80882,43.9110070257611,"09001011300","Census Tract 113, Fairfield County, Connecticut",3416,15,1081.62,0.0133728147177369
63514,55.1876379690949,"09001020100","Census Tract 201, Fairfield County, Connecticut",5436,30,1388.48,0.0218610070220739
233750,14.1083521444695,"09001020200","Census Tract 202, Fairfield County, Connecticut",3544,5,2028.84,0.00867952941176471
196250,15.7367668097282,"09001020300","Census Tract 203, Fairfield County, Connecticut",6990,11,2088.48,0.0106419363057325
170972,8.4411930219471,"09001020400","Census Tract 204, Fairfield County, Connecticut",3554,3,993.06,0.00580831949091079
186324,10.2333196889071,"09001020500","Census Tract 205, Fairfield County, Connecticut",4886,5,2652.54,0.0142361692535583
144519,28.8517022504328,"09001020600","Census Tract 206, Fairfield County, Connecticut",5199,15,1221,0.00844871608577419
131897,24.515812699191,"09001020700","Census Tract 207, Fairfield County, Connecticut",4079,10,931.23,0.00706028188662365
168846,22.5648740127868,"09001020800","Census Tract 208, Fairfield County, Connecticut",2659,6,2109.21,0.0124919157101738
64044,78.8240306774606,"09001020900","Census Tract 209, Fairfield County, Connecticut",4694,37,1170.27,0.0182729061270377
133988,27.0513976555455,"09001021000","Census Tract 210, Fairfield County, Connecticut",3327,9,992.55,0.00740775293309849
103810,44.5058317986495,"09001021100","Census Tract 211, Fairfield County, Connecticut",6516,29,1877.59,0.0180867931798478
138686,14.2146410803127,"09001021200","Census Tract 212, Fairfield County, Connecticut",4221,6,2168.62,0.0156369063928587
112188,45.9875833524948,"09001021300","Census Tract 213, Fairfield County, Connecticut",4349,20,1405.99,0.0125324455378472
46566,60.6227610912097,"09001021400","Census Tract 214, Fairfield County, Connecticut",7258,44,1498.255,0.0321748700768801
43357,80.370942812983,"09001021500","Census Tract 215, Fairfield County, Connecticut",6470,52,1352.225,0.031188158774823
85420,46.0163029187484,"09001021600","Census Tract 216, Fairfield County, Connecticut",7606,35,1811.62,0.0212083821119176
86705,39.0309555854643,"09001021700","Census Tract 217, Fairfield County, Connecticut",7430,29,1108.2,0.0127812698229629
99112,41.304347826087,"09001021801","Census Tract 218.01, Fairfield County, Connecticut",4600,19,1565.98,0.0158001049317943
68599,72.1473324473135,"09001021802","Census Tract 218.02, Fairfield County, Connecticut",5267,38,1488.41,0.0216972550620271
