"","GEOID","NAME","pop_all","medinc_all","hh_cnt","ABKCKD"
"1","09001010101","Census Tract 101.01, Fairfield County, Connecticut",4192,189219,1347,2020
"2","09001010102","Census Tract 101.02, Fairfield County, Connecticut",4419,250001,1362,2020
"3","09001010201","Census Tract 102.01, Fairfield County, Connecticut",3429,250001,1119,2020
"4","09001010202","Census Tract 102.02, Fairfield County, Connecticut",5660,144766,1951,2020
"5","09001010300","Census Tract 103, Fairfield County, Connecticut",3880,241827,1475,2020
"6","09001010400","Census Tract 104, Fairfield County, Connecticut",5846,155000,1978,2020
"7","09001010500","Census Tract 105, Fairfield County, Connecticut",6469,82257,2533,2020
"8","09001010600","Census Tract 106, Fairfield County, Connecticut",2012,105257,1023,2020
"9","09001010700","Census Tract 107, Fairfield County, Connecticut",3257,74196,1567,2020
"10","09001010800","Census Tract 108, Fairfield County, Connecticut",3056,162063,1217,2020
"11","09001010900","Census Tract 109, Fairfield County, Connecticut",5387,172153,1851,2020
"12","09001011000","Census Tract 110, Fairfield County, Connecticut",5638,250001,1850,2020
"13","09001011100","Census Tract 111, Fairfield County, Connecticut",4810,250001,1499,2020
"14","09001011200","Census Tract 112, Fairfield County, Connecticut",1895,250001,599,2020
"15","09001011300","Census Tract 113, Fairfield County, Connecticut",2764,92105,1012,2020
"16","09001020101","Census Tract 201.01, Fairfield County, Connecticut",2418,77385,1348,2020
"17","09001020102","Census Tract 201.02, Fairfield County, Connecticut",3312,43696,1951,2020
"18","09001020200","Census Tract 202, Fairfield County, Connecticut",3946,233021,1395,2020
"19","09001020301","Census Tract 203.01, Fairfield County, Connecticut",2870,180962,1072,2020
"20","09001020302","Census Tract 203.02, Fairfield County, Connecticut",4412,223493,1327,2020
"21","09001020400","Census Tract 204, Fairfield County, Connecticut",3534,190680,1201,2020
"22","09001020500","Census Tract 205, Fairfield County, Connecticut",4836,173281,1701,2020
"23","09001020600","Census Tract 206, Fairfield County, Connecticut",4768,124583,1839,2020
"24","09001020700","Census Tract 207, Fairfield County, Connecticut",4098,147527,1525,2020
"25","09001020800","Census Tract 208, Fairfield County, Connecticut",2589,180250,871,2020
"26","09001020900","Census Tract 209, Fairfield County, Connecticut",4605,55000,1980,2020
"27","09001021000","Census Tract 210, Fairfield County, Connecticut",3413,136000,1172,2020
"28","09001021100","Census Tract 211, Fairfield County, Connecticut",6779,94929,2340,2020
"29","09001021200","Census Tract 212, Fairfield County, Connecticut",4211,121029,1726,2020
"30","09001021300","Census Tract 213, Fairfield County, Connecticut",4636,107273,1854,2020
"31","09001021401","Census Tract 214.01, Fairfield County, Connecticut",3199,69297,1088,2020
"32","09001021402","Census Tract 214.02, Fairfield County, Connecticut",3904,59051,1535,2020
"33","09001021501","Census Tract 215.01, Fairfield County, Connecticut",4180,40537,1376,2020
"34","09001021502","Census Tract 215.02, Fairfield County, Connecticut",2420,44420,959,2020
"35","09001021601","Census Tract 216.01, Fairfield County, Connecticut",3130,117976,1418,2020
"36","09001021602","Census Tract 216.02, Fairfield County, Connecticut",4405,92100,2012,2020
"37","09001021701","Census Tract 217.01, Fairfield County, Connecticut",3964,61520,1788,2020
"38","09001021702","Census Tract 217.02, Fairfield County, Connecticut",3752,92115,1868,2020
"39","09001021801","Census Tract 218.01, Fairfield County, Connecticut",4575,84844,1828,2020
"40","09001021802","Census Tract 218.02, Fairfield County, Connecticut",4925,69136,1890,2020
"41","09001021900","Census Tract 219, Fairfield County, Connecticut",6217,78319,2376,2020
"42","09001022000","Census Tract 220, Fairfield County, Connecticut",3140,88510,1067,2020
"43","09001022101","Census Tract 221.01, Fairfield County, Connecticut",3162,39893,877,2020
"44","09001022102","Census Tract 221.02, Fairfield County, Connecticut",4743,90625,1570,2020
"45","09001022201","Census Tract 222.01, Fairfield County, Connecticut",2901,101150,1409,2020
"46","09001022202","Census Tract 222.02, Fairfield County, Connecticut",3699,97500,1768,2020
"47","09001022300","Census Tract 223, Fairfield County, Connecticut",5184,87772,2020,2020
"48","09001022400","Census Tract 224, Fairfield County, Connecticut",2130,169688,801,2020
"49","09001030100","Census Tract 301, Fairfield County, Connecticut",3759,250001,1107,2020
"50","09001030200","Census Tract 302, Fairfield County, Connecticut",3374,250001,1120,2020
"51","09001030300","Census Tract 303, Fairfield County, Connecticut",4477,250001,1408,2020
"52","09001030400","Census Tract 304, Fairfield County, Connecticut",4193,168827,1462,2020
"53","09001030500","Census Tract 305, Fairfield County, Connecticut",5949,214542,1848,2020
"54","09001035101","Census Tract 351.01, Fairfield County, Connecticut",4106,131817,1651,2020
"55","09001035102","Census Tract 351.02, Fairfield County, Connecticut",3747,181488,1365,2020
"56","09001035200","Census Tract 352, Fairfield County, Connecticut",3112,250001,1010,2020
"57","09001035300","Census Tract 353, Fairfield County, Connecticut",3910,230795,1197,2020
"58","09001035400","Census Tract 354, Fairfield County, Connecticut",5374,250001,1632,2020
"59","09001042500","Census Tract 425, Fairfield County, Connecticut",3578,134769,1413,2020
"60","09001042600","Census Tract 426, Fairfield County, Connecticut",4162,103641,1681,2020
"61","09001042700","Census Tract 427, Fairfield County, Connecticut",5133,102008,2172,2020
"62","09001042800","Census Tract 428, Fairfield County, Connecticut",4814,97286,1784,2020
"63","09001042900","Census Tract 429, Fairfield County, Connecticut",1588,152500,616,2020
"64","09001043000","Census Tract 430, Fairfield County, Connecticut",2942,103750,1239,2020
"65","09001043100","Census Tract 431, Fairfield County, Connecticut",4536,155714,1610,2020
"66","09001043200","Census Tract 432, Fairfield County, Connecticut",3311,68750,1239,2020
"67","09001043300","Census Tract 433, Fairfield County, Connecticut",3001,97778,1132,2020
"68","09001043400","Census Tract 434, Fairfield County, Connecticut",4345,89464,1779,2020
"69","09001043500","Census Tract 435, Fairfield County, Connecticut",2513,88194,893,2020
"70","09001043600","Census Tract 436, Fairfield County, Connecticut",3112,111045,1272,2020
"71","09001043700","Census Tract 437, Fairfield County, Connecticut",2759,69083,1600,2020
"72","09001043800","Census Tract 438, Fairfield County, Connecticut",7768,79427,2771,2020
"73","09001043900","Census Tract 439, Fairfield County, Connecticut",6402,87930,2122,2020
"74","09001044000","Census Tract 440, Fairfield County, Connecticut",5465,64353,2163,2020
"75","09001044100","Census Tract 441, Fairfield County, Connecticut",2960,82986,1517,2020
"76","09001044200","Census Tract 442, Fairfield County, Connecticut",4123,60040,1775,2020
"77","09001044300","Census Tract 443, Fairfield County, Connecticut",4383,102167,1778,2020
"78","09001044400","Census Tract 444, Fairfield County, Connecticut",3521,91845,1195,2020
"79","09001044500","Census Tract 445, Fairfield County, Connecticut",4756,63826,1315,2020
"80","09001044600","Census Tract 446, Fairfield County, Connecticut",3583,234152,1361,2020
"81","09001045101","Census Tract 451.01, Fairfield County, Connecticut",4018,209899,1239,2020
"82","09001045102","Census Tract 451.02, Fairfield County, Connecticut",6027,189479,1823,2020
"83","09001045200","Census Tract 452, Fairfield County, Connecticut",2751,150179,1075,2020
"84","09001045300","Census Tract 453, Fairfield County, Connecticut",2460,250001,751,2020
"85","09001045400","Census Tract 454, Fairfield County, Connecticut",3149,218413,1067,2020
"86","09001050100","Census Tract 501, Fairfield County, Connecticut",4498,250001,1572,2020
"87","09001050200","Census Tract 502, Fairfield County, Connecticut",3836,170465,1410,2020
"88","09001050301","Census Tract 503.01, Fairfield County, Connecticut",4132,141010,1465,2020
"89","09001050302","Census Tract 503.02, Fairfield County, Connecticut",4415,250001,1495,2020
"90","09001050400","Census Tract 504, Fairfield County, Connecticut",2448,176776,1057,2020
"91","09001050500","Census Tract 505, Fairfield County, Connecticut",5352,182708,1808,2020
"92","09001050600","Census Tract 506, Fairfield County, Connecticut",3494,250001,1224,2020
"93","09001055100","Census Tract 551, Fairfield County, Connecticut",5676,193594,1970,2020
"94","09001055200","Census Tract 552, Fairfield County, Connecticut",4602,234205,1561,2020
"95","09001060100","Census Tract 601, Fairfield County, Connecticut",4169,143750,963,2020
"96","09001060200","Census Tract 602, Fairfield County, Connecticut",4583,114722,1708,2020
"97","09001060300","Census Tract 603, Fairfield County, Connecticut",4089,202361,1481,2020
"98","09001060400","Census Tract 604, Fairfield County, Connecticut",4646,237656,1509,2020
"99","09001060500","Census Tract 605, Fairfield County, Connecticut",2974,233625,925,2020
"100","09001060600","Census Tract 606, Fairfield County, Connecticut",2196,172232,998,2020
"101","09001060700","Census Tract 607, Fairfield County, Connecticut",8087,155772,1843,2020
"102","09001060800","Census Tract 608, Fairfield County, Connecticut",2103,160417,830,2020
"103","09001060900","Census Tract 609, Fairfield County, Connecticut",2770,143365,903,2020
"104","09001061000","Census Tract 610, Fairfield County, Connecticut",3807,78079,1585,2020
"105","09001061100","Census Tract 611, Fairfield County, Connecticut",3840,181065,1271,2020
"106","09001061200","Census Tract 612, Fairfield County, Connecticut",2503,90909,890,2020
"107","09001061300","Census Tract 613, Fairfield County, Connecticut",3023,91250,1135,2020
"108","09001061400","Census Tract 614, Fairfield County, Connecticut",3223,77639,1315,2020
"109","09001061500","Census Tract 615, Fairfield County, Connecticut",4596,187109,1745,2020
"110","09001061600","Census Tract 616, Fairfield County, Connecticut",5345,116458,2075,2020
